epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.608914315700531,0.7268829345703125,1e-04,0.559665858745575,0.550684928894043,0.4431345462799072,1.1592707633972168,0.4431345462799072,1.0
1,0.6862643361091614,0.627050518989563,1e-04,0.6437933444976807,0.6536203622817993,0.4431345462799072,1.8678838014602661,0.4431345462799072,1.0
2,0.7455775141716003,0.5364149808883667,1e-04,0.7082695364952087,0.7240704298019409,0.6546463370323181,0.7784339785575867,0.6549450755119324,0.4663536846637726
3,0.7922303080558777,0.454142302274704,1e-04,0.7549793124198914,0.7863013744354248,0.7212205529212952,0.6881259679794312,0.885993480682373,0.42566511034965515
4,0.8213666081428528,0.40805405378341675,1e-04,0.7863311767578125,0.81956946849823,0.6900138854980469,1.033514142036438,0.9948453903198242,0.3020344376564026
5,0.8409642577171326,0.37306949496269226,1e-04,0.8051415681838989,0.8457925915718079,0.6241331696510315,3.159893751144409,1.0,0.15179969370365143
6,0.8612556457519531,0.3302198648452759,1e-04,0.8275476098060608,0.8677103519439697,0.628294050693512,2.203840732574463,1.0,0.16118936240673065
7,0.8666319847106934,0.31900063157081604,1e-04,0.8312314748764038,0.8771037459373474,0.617891788482666,4.1712164878845215,1.0,0.1377151757478714
8,0.8718348741531372,0.30841192603111267,1e-04,0.843419075012207,0.8727984428405762,0.5568654537200928,3.246630907058716,0.5,0.9906103014945984
9,0.8869233727455139,0.2797364294528961,5e-05,0.8557009100914001,0.8958904147148132,0.8363384008407593,0.5416625738143921,1.0,0.6306729316711426
10,0.8869233727455139,0.2807379364967346,5e-05,0.8549048900604248,0.8970645666122437,0.6144244074821472,4.622708320617676,1.0,0.12989045679569244
11,0.8921262621879578,0.2670825719833374,5e-05,0.8607689142227173,0.9025440216064453,0.6269070506095886,2.825277328491211,1.0,0.15805946290493011
12,0.8902184963226318,0.26257070899009705,5e-05,0.8623680472373962,0.895107626914978,0.6137309074401855,6.574828147888184,1.0,0.12832550704479218
13,0.8947277069091797,0.2653498351573944,5e-05,0.8683812618255615,0.8986301422119141,0.633841872215271,2.602576732635498,1.0,0.17370891571044922
14,0.8957682847976685,0.25759157538414,5e-05,0.8659176230430603,0.9048923850059509,0.6171983480453491,5.349133014678955,1.0,0.13615024089813232
15,0.9025321006774902,0.24449731409549713,2.5e-05,0.873360812664032,0.9123287796974182,0.6234396696090698,4.509484767913818,1.0,0.15023474395275116
16,0.9080818295478821,0.2334527224302292,2.5e-05,0.8754171133041382,0.9240704774856567,0.8307905793190002,0.6096468567848206,0.9691211581230164,0.6384976506233215
17,0.9030523896217346,0.24311277270317078,2.5e-05,0.8751879930496216,0.9111546277999878,0.6518723964691162,1.976013422012329,1.0,0.21439749002456665
18,0.9028789401054382,0.23825307190418243,2.5e-05,0.8765571713447571,0.9088062644004822,0.882108211517334,0.37928497791290283,0.983505129814148,0.7464788556098938
19,0.916406512260437,0.2182786613702774,2.5e-05,0.8915753960609436,0.9236790537834167,0.6622745990753174,1.8311972618103027,1.0,0.2378716766834259
20,0.910336434841156,0.22856958210468292,2.5e-05,0.8799403309822083,0.9236790537834167,0.6310679316520691,3.4260425567626953,1.0,0.16744914650917053
21,0.9117239117622375,0.22792863845825195,2.5e-05,0.8883826732635498,0.9158512949943542,0.6726768612861633,1.819114089012146,0.9940828680992126,0.26291078329086304
22,0.8968088626861572,0.24455517530441284,2.5e-05,0.870931088924408,0.9005870819091797,0.6400831937789917,2.7266180515289307,1.0,0.18779343366622925
23,0.910336434841156,0.23121461272239685,2.5e-05,0.8859848380088806,0.9154598712921143,0.9389736652374268,0.1953931599855423,0.950900137424469,0.9092331528663635
24,0.9089490175247192,0.22699055075645447,2.5e-05,0.8804348111152649,0.9193737506866455,0.6234396696090698,4.78598165512085,1.0,0.15023474395275116
25,0.9106833338737488,0.2286587953567505,2.5e-05,0.8849056363105774,0.9178082346916199,0.6213592290878296,4.667934894561768,1.0,0.14553990960121155
26,0.9155393838882446,0.20915691554546356,2.5e-05,0.8916666507720947,0.9213307499885559,0.8626906871795654,0.4462606906890869,0.9824945330619812,0.7026603817939758
27,0.9131113290786743,0.2138482630252838,2.5e-05,0.8893100619316101,0.9181995987892151,0.6636615991592407,1.9232460260391235,0.9935897588729858,0.24256651103496552
28,0.9115504622459412,0.23483209311962128,2.5e-05,0.8865784406661987,0.9178082346916199,0.6449375748634338,2.555718183517456,0.9922480583190918,0.20031298696994781
29,0.9174470901489258,0.20992812514305115,1.25e-05,0.8924122452735901,0.9252446293830872,0.6345353722572327,3.441387891769409,1.0,0.1752738654613495
30,0.9151924848556519,0.21827355027198792,1.25e-05,0.8863126635551453,0.927592933177948,0.6366158127784729,3.2998416423797607,1.0,0.1799686998128891
31,0.9108567237854004,0.21321742236614227,1.25e-05,0.883790910243988,0.9197651743888855,0.6595007181167603,2.085604190826416,0.9933333396911621,0.2331768423318863
32,0.9174470901489258,0.20800450444221497,1.25e-05,0.8969072103500366,0.9193737506866455,0.6997225880622864,1.4368597269058228,0.995192289352417,0.3239436745643616
33,0.9238640069961548,0.19093702733516693,1.25e-05,0.8983433842658997,0.9338551759719849,0.655339777469635,2.1975510120391846,0.9930555820465088,0.22378717362880707
